Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
ANSONIA WATER POLLUTION CONTROL FACILITY,1.975,0.02561456177931293,0.02294514429515314,-73.08029,41.33114,Discharge Monitoring Reports
ANSONIA WPCF,3.45,0.05328863267259834,0.04684033596529476,-73.08011,41.3365,Clean Watershed Needs Survey
ANTIETAM VLY STP,1.14641666666667,0.014868334447173375,0.011441232845007102,-75.873537,40.330926,Discharge Monitoring Reports
ANTRIM TWP MUN AUTH STP,0.889916666666667,0.011541683765454976,0.008274680175615463,-77.785833,39.745833,Discharge Monitoring Reports
ANTRIM TWP STP,1.05,0.016218279509051668,0.010224942847582788,-77.7858,39.7458,Clean Watershed Needs Survey
AQUA PA MT JEWETT,0.326416666666667,0.004233427784369995,0.002293445149768448,-78.64388,41.72879,Discharge Monitoring Reports
ARARAT TWP WWTP,0.0129258333333333,0.00016764028175481936,3.6848040015483525e-05,-75.50965,41.75911,Discharge Monitoring Reports
ARCADE (V) STP,0.259769863013699,0.0033690588377559747,0.001712364375841722,-78.45808,42.53596,Discharge Monitoring Reports
ARCADIA SYS,0.349166666666667,0.00452848159727094,0.0024999033234927056,-79.198349,40.678072,Discharge Monitoring Reports
ARENDTSVILLE STP,0.12625,0.0016373865441206368,0.0006802947114916767,-77.29227,39.92485,Discharge Monitoring Reports
ARLINGTON TREATMENT PLANT,2.42328767123288,0.031428583171565556,0.02980897453508977,-73.943,41.649,Discharge Monitoring Reports
ARMAGH SYS STP,0.03225,0.00041826309740903395,0.0001186900028257865,-79.035845,40.463074,Discharge Monitoring Reports
ARMSTRONG CO IND DEV AUTH WWTP,0.13775,0.0017865346253672692,0.000760561280081605,-79.611696,40.758072,Discharge Monitoring Reports
ARTHUR STANLICK SCHOOL,0.0011740833333333,1.5227154468722769e-05,1.7124642009412777e-06,-74.590636,40.971314,Discharge Monitoring Reports
ASBURY PARK WATER QUALITY CENTRAL FACILITY,1.76008333333333,0.022827221913116768,0.019800634706484146,-73.99222,40.227057,Discharge Monitoring Reports
ASHLAND AREA WATER AUTHORITY,0.963916666666667,0.01250141924478113,0.00916500378841672,-76.338611,40.78,Discharge Monitoring Reports
ASHLAND BORO,0.25,0.003861495121202778,0.0016304080624826712,-76.2724,40.7743,Clean Watershed Needs Survey
ASHVILLE BORO STP,0.0257666666666667,0.00033417816464825187,8.906608144921843e-05,-78.547773,40.563349,Discharge Monitoring Reports
ATGLEN BOROUGH STP,0.08675,0.001125095308534378,0.00042092916075810356,-75.9722,39.9451,Discharge Monitoring Reports
ATHENS (V) WWTP,0.34375,0.0044582306894373775,0.0024503957036009576,-73.8055,42.262833,Discharge Monitoring Reports
ATHOL WASTEWATER TREATMENT FACILITY,1.12633333333333,0.014607865696590405,0.011185437448223782,-72.242982,42.586234,Discharge Monitoring Reports
ATLANTIC BEACH WWTP,0.621041666666667,0.008054536778916866,0.005222488583369818,-73.7412,40.59134,Discharge Monitoring Reports
ATTICA WASTEWATER TREATMENT PLANT,0.925,0.011996693491576943,0.00869430456032539,-78.27676,42.87116,Discharge Monitoring Reports
AUBURN - C STP,0.0061138657921147,7.929316103420252e-05,1.4139615984347009e-05,-76.59454,42.94125,Discharge Monitoring Reports
AURORA (V) WWTP,0.125802739726027,0.001631585847452731,0.0006772129002817104,-76.702472,42.737528,Discharge Monitoring Reports
AUTH OF BORO OF CHARLEROI,1.755,0.02276129413807301,0.019727501560981388,-79.895607,40.136738,Discharge Monitoring Reports
AVON - V STP,,,,-77.75678,42.92298,Discharge Monitoring Reports
AVONDALE BORO STP,0.426808333333333,0.005535447302325188,0.003232095327751437,-75.78563,39.82291,Discharge Monitoring Reports
AVONMORE BORO STP,0.220916666666667,0.002865156256411759,0.0013918087392812274,-79.4721,40.5262,Discharge Monitoring Reports
"Afton, (V) WWTP & Collection",0.0,0.0,0.0,-75.52807,42.22855,Clean Watershed Needs Survey
"Akron, (V) WWTP & Collection",0.8,0.01235678438784889,0.007220520853362259,-78.506417,43.029944,Clean Watershed Needs Survey
Albany (Co) - ACSD North STP,21.4,0.33054398237495775,0.48377060619087725,-73.729117,42.676054,Clean Watershed Needs Survey
Albany (Co) - ACSD South STP,21.8,0.3367223745688822,0.4953692771083557,-73.7597,42.6303,Clean Watershed Needs Survey
Albion (V) Jt.Mun-Ind. WWTP,1.56,0.024095729556305335,0.016967944587680063,-78.168778,43.254389,Clean Watershed Needs Survey
Alden (V) WWTP,0.65,0.010039887315127222,0.0055360438516269235,-78.5071,42.9055,Clean Watershed Needs Survey
Alexander (V) WWTP,0.055,0.0008495289266646111,0.00023497063588119282,-78.2583,42.9042,Clean Watershed Needs Survey
Alexander V WWTP,0.055,0.0008495289266646111,0.00023497063588119282,-78.250722,42.903361,Clean Watershed Needs Survey
Alfred (V) WWTP,0.98,0.015137060875114888,0.009361100977928088,-77.7914,42.254,Clean Watershed Needs Survey
